sample_id,stem,city,sar_path,opt_path,lab_path,split
1,JiuJiang_01_01_01_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_01_SAR_001.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_01_Optical_001.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_01_Label_001.tif,train
2,JiuJiang_01_01_01_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_02_SAR_002.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_02_Optical_002.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_02_Label_002.tif,train
3,JiuJiang_01_01_01_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_03_SAR_003.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_03_Optical_003.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_03_Label_003.tif,train
4,JiuJiang_01_01_01_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_04_SAR_004.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_04_Optical_004.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_04_Label_004.tif,train
5,JiuJiang_01_01_01_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_05_SAR_005.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_05_Optical_005.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_05_Label_005.tif,train
6,JiuJiang_01_01_01_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_06_SAR_006.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_06_Optical_006.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_06_Label_006.tif,train
7,JiuJiang_01_01_01_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_01_07_SAR_007.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_01_07_Optical_007.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_01_07_Label_007.tif,train
8,JiuJiang_01_01_02_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_01_SAR_008.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_01_Optical_008.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_01_Label_008.tif,train
9,JiuJiang_01_01_02_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_02_SAR_009.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_02_Optical_009.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_02_Label_009.tif,train
10,JiuJiang_01_01_02_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_03_SAR_010.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_03_Optical_010.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_03_Label_010.tif,train
11,JiuJiang_01_01_02_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_04_SAR_011.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_04_Optical_011.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_04_Label_011.tif,train
12,JiuJiang_01_01_02_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_05_SAR_012.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_05_Optical_012.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_05_Label_012.tif,train
13,JiuJiang_01_01_02_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_06_SAR_013.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_06_Optical_013.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_06_Label_013.tif,train
14,JiuJiang_01_01_02_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_02_07_SAR_014.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_02_07_Optical_014.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_02_07_Label_014.tif,train
15,JiuJiang_01_01_03_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_01_SAR_015.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_01_Optical_015.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_01_Label_015.tif,train
16,JiuJiang_01_01_03_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_02_SAR_016.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_02_Optical_016.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_02_Label_016.tif,train
17,JiuJiang_01_01_03_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_03_SAR_017.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_03_Optical_017.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_03_Label_017.tif,train
18,JiuJiang_01_01_03_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_04_SAR_018.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_04_Optical_018.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_04_Label_018.tif,train
19,JiuJiang_01_01_03_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_05_SAR_019.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_05_Optical_019.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_05_Label_019.tif,train
20,JiuJiang_01_01_03_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_06_SAR_020.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_06_Optical_020.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_06_Label_020.tif,train
21,JiuJiang_01_01_03_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_03_07_SAR_021.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_03_07_Optical_021.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_03_07_Label_021.tif,train
23,JiuJiang_01_01_04_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_02_SAR_023.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_02_Optical_023.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_02_Label_023.tif,train
24,JiuJiang_01_01_04_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_03_SAR_024.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_03_Optical_024.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_03_Label_024.tif,train
25,JiuJiang_01_01_04_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_04_SAR_025.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_04_Optical_025.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_04_Label_025.tif,train
26,JiuJiang_01_01_04_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_05_SAR_026.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_05_Optical_026.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_05_Label_026.tif,train
27,JiuJiang_01_01_04_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_06_SAR_027.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_06_Optical_027.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_06_Label_027.tif,train
28,JiuJiang_01_01_04_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_04_07_SAR_028.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_04_07_Optical_028.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_04_07_Label_028.tif,train
29,JiuJiang_01_01_05_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_01_SAR_029.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_01_Optical_029.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_01_Label_029.tif,train
30,JiuJiang_01_01_05_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_02_SAR_030.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_02_Optical_030.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_02_Label_030.tif,train
31,JiuJiang_01_01_05_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_03_SAR_031.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_03_Optical_031.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_03_Label_031.tif,train
32,JiuJiang_01_01_05_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_04_SAR_032.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_04_Optical_032.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_04_Label_032.tif,train
33,JiuJiang_01_01_05_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_05_SAR_033.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_05_Optical_033.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_05_Label_033.tif,train
34,JiuJiang_01_01_05_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_06_SAR_034.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_06_Optical_034.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_06_Label_034.tif,train
35,JiuJiang_01_01_05_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_05_07_SAR_035.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_05_07_Optical_035.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_05_07_Label_035.tif,train
36,JiuJiang_01_01_06_01,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_01_SAR_036.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_01_Optical_036.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_01_Label_036.tif,train
37,JiuJiang_01_01_06_02,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_02_SAR_037.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_02_Optical_037.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_02_Label_037.tif,train
38,JiuJiang_01_01_06_03,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_03_SAR_038.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_03_Optical_038.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_03_Label_038.tif,train
39,JiuJiang_01_01_06_04,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_04_SAR_039.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_04_Optical_039.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_04_Label_039.tif,train
40,JiuJiang_01_01_06_05,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_05_SAR_040.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_05_Optical_040.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_05_Label_040.tif,train
41,JiuJiang_01_01_06_06,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_06_SAR_041.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_06_Optical_041.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_06_Label_041.tif,train
42,JiuJiang_01_01_06_07,JiuJiang,dl\data\extracted\SAR_1024\JiuJiang_01_01_06_07_SAR_042.tif,dl\data\extracted\OPT_1024\JiuJiang_01_01_06_07_Optical_042.tif,dl\data\extracted\LAB_1024\JiuJiang_01_01_06_07_Label_042.tif,train
